date_created_utc,creator,creator_url,version,os,question_id,question_url,question_title,question_content
2026-05-02 03:23,ccctriplec,https://support.mozilla.org/en-US/user/ccctriplec/,150.1,Windows 10/11,1579519,https://support.mozilla.org/questions/1579519,Converting Outlook 365 Exchange account that used Owl Exchange to Thunderbird EWS,"Hello! Over the last few years, I was using Owl Exchange to access my school and work email accounts which couldn't be added regularly. Now that I've upgraded, I'm not able to add these accounts using the EWS method. I run into all kinds of errors, or Thunderbird is unable to detect the kind of account. Yet, my existing IMAP accounts work great with Owl. How can I easily convert these to work with Thunderbird EWS natively? "
2026-05-02 14:09,seth.pylad,https://support.mozilla.org/en-US/user/seth.pylad/,140.10.0esr,Linux Mint 22.3 (Cinnamon),1579573,https://support.mozilla.org/questions/1579573,Why is login credentials suddenly asked for?,"Hello from Sweden, and I'm sorry if any grammar or expression is incorrect. All of a sudden login credentials is asked for (see attached image), for an old account that I've already (a couple of weeks ago) deleted both in Thunderbird and also on the server (on sethpylad.se). I always click the Cancel button when this comes up, but I don't understand this at all because when I try to send an email to the existing new account on the same server it all works as it should? So it seems like it only ask for credentials for the old/deleted account? Is there any way I can change any setting to not be annoyed by this from here on? I'm using a HP laptop. And on my desktop computer I can't really recall having this problem at all. Edit: I just deleted an Address Book that was associated with that old account, but the problem prevails. /edit Thanx in advance! Seth Pylad from Sweden "
2026-05-02 20:27,TLRS,https://support.mozilla.org/en-US/user/TLRS/,140.10.1esr,Windows 11,1579613,https://support.mozilla.org/questions/1579613,Thunderbird keeps asking for a password that has been saved in the Password Manager,"I am running Version 140.10.1esr (64-bit) on Windows 11 and would like to subscribe to my Calendar on Nextcloud. Yesterday, in Nextcloud, I set up an app-specific password and saved that to the Password Manager in Thunderbird. I also saved the app-specific password to my Bitwarden vault. The Calendar synced just fine. However, today, when I booted up Thunderbird, it said that it needed the password for the Calendar. I entered it in, and then looked to see if the password was in the password manager; it was. What's going on here and how do I fix it? "
2026-05-03 02:55,montro_sela,https://support.mozilla.org/en-US/user/montro_sela/,140.10.0esr,Linux,1579654,https://support.mozilla.org/questions/1579654,calendar import sets up but doesn't initiate,"I have a shared family calendar and a private google account calendar that is separate. I tried importing some events from the family calendar to the private calendar. I created a .ics file, and started using the calendar import function in Thunderbird on my Ubuntu laptop. I found the file, selected it, and filtered for current and future events. I then clicked the confirm import button, and the screen changed to a view progress screen. This screen correctly shows the target account, the source file, the import type, and the number of events, so I think it's correctly set up. The progress bar shows ""Importing... 0%"", and there it appears to stall, consistently after several attempts. I saw another thread that talked about read-only calendars, but I don't see a setting, either at the Thunderbird level or at the calendar level that might be restrictive in that sense. Is there a preparatory step or a setting I'm overlooking? "
2026-05-04 15:01,moz34,https://support.mozilla.org/en-US/user/moz34/,149.0.2,Windows 11,1579862,https://support.mozilla.org/questions/1579862,Emails set to wromg time zone,"I returned to London from Singapore on Tuesday 28/4. Today (4 May) I noticed that all my emails show Singapore time (BST+7) in the Inbox display in Thunderbird on my Windows laptop although the time shown for emails is correct on my mobile (iPhone). I checked calendar in Thunderbird settings and it's set to ""Use system timezone"" but the time on my laptop clock is correct. The time zone in my Windows setting is also correct (London). When I open an email it shows the correct time. Any thoughts? "
2026-05-05 08:43,inspiredmac1,https://support.mozilla.org/en-US/user/inspiredmac1/,150.0.1,Mac OS x 26.3.1 Tahoe,1580004,https://support.mozilla.org/questions/1580004,Add New Folder,In my INBOX folder I have a number of subfolders that I use to filter my client email into. Lately I can't remember how to create and add anew folder to the INBOX. I used to simply click on either my account name (IMAP)or the INBOX folder (I can't remember which one) then right-click and add new folder.  Also I have noticed that the dialogue window seems to be cutting off two buttons in the lower edge of the window (see image attached). 
2026-05-05 11:22,mrBo,https://support.mozilla.org/en-US/user/mrBo/,140.10.0esr,Windows 10,1580021,https://support.mozilla.org/questions/1580021,The carddav address book is not syncing.,"Thunderbird is used on a domain network of 100 computers, all connected to a Carddav address book. About 10 computers have stopped syncing their address book. Reconnecting the address book doesn't help. Newly added email addresses don't sync. Everything is fine on the other computers, all running Windows 10. "
2026-05-05 13:47,szerviz,https://support.mozilla.org/en-US/user/szerviz/,150.01 (64 bit),Windows 11,1580037,https://support.mozilla.org/questions/1580037,Moving emails to recent folders now has less options,"Hello, yesterday I noticed that if I try to sort (Move to) my emails to another folder, using the Recent destinations option then I get much less options than before. Also I swear that half a year ago those were sorted alphabetically, now it is sorted by recently used. Is there a way to restore the more options and to use the alpabetical order? Thanks! "
2026-05-05 19:20,frankfischermusik,https://support.mozilla.org/en-US/user/frankfischermusik/,150.0.1 64 bit,Windows 11,1580072,https://support.mozilla.org/questions/1580072,in den Ordnern veschwinden die mails,"in den Ordnern veschwinden die mails, kommen schon mal wieder und sind dann auch mal weg.. Betrifft nur emailadresse arcor. quasi abruf bei vodafone. port und so sind richtig eingestellt. habe auch deinstaliert und neu aufgespielt keine änderung. die konten über gmail laufen ganz normal. finde den fehler nicht. "
2026-05-05 19:40,erkki.tuppurainen,https://support.mozilla.org/en-US/user/erkki.tuppurainen/,150.0,Windows 11,1580084,https://support.mozilla.org/questions/1580084,Why does Thunderbird not send messages,Thunderbird worjs normally in other situations. 
2026-05-05 19:43,dagmarbuse,https://support.mozilla.org/en-US/user/dagmarbuse/,150.01,Windows 11,1580085,https://support.mozilla.org/questions/1580085,"my emails disappear for no reason, and trash can't be emptied. Why?","For the past 2 days, either my inbox is empty on startup, or if I see my messages, they disappear completely once I open any folder. Also, I have over 2400 messages in Trash, and can't empty the folder. No settings or connections were changed. What gives? "
2026-05-06 00:16,bensrosen,https://support.mozilla.org/en-US/user/bensrosen/,n/a,Windows 11,1580138,https://support.mozilla.org/questions/1580138,Is Thunderbird designed to work well with iCloud Mail on Windows 11 PC ?,I am trying to find a program that allows me to use all the features of iCloud Mail on my Windows 11 OS . Is Thunderbird compatible with iCloud Mail ? I tired installing and using Thunderbird but it seemed that some of my sent emails were not delivered. So I uninstalled Thunderbird. 
2026-05-06 04:28,rosemarierussell33,https://support.mozilla.org/en-US/user/rosemarierussell33/,150.0.1,Mac OS x 10.15,1580181,https://support.mozilla.org/questions/1580181,Login fails on one of my accounts. It was working before.,One of my email accounts will not connect. It was working but has not connected for two days. The message says log in failed for X@yahoo.com. (PII redacted by moderator) 
2026-05-06 05:17,4nz4js6zkh,https://support.mozilla.org/en-US/user/4nz4js6zkh/,149.0.2,Mac OS x 114.8.5,1580192,https://support.mozilla.org/questions/1580192,Thunderbird trashed my inbox emails on iMac Sonoma. Need to recover Inbox.,"Thunderbird 149.0.2 trashed my inbox emails on iMac Sonoma. Need to recover Inbox, about 2-3 thousand messages. When I saw it put all inbox into trash, I tried to direct the files back to the Inbox but Thunderbird then deleted all trash. HELP.  I am currently avoiding putting anything into trash. <X@nutechcapital.com> (PII redacted by moderator) "
